room_image_id,room_id,ulid,url
90,18,53223DBED0176589815150DBF4976F3405D3532E,https://cf.bstatic.com/images/hotel/max1024x768/133/133333923.jpg
91,18,673AD3E3B12B63E62D5701B4B4A9ED1AADB67024,https://cf.bstatic.com/images/hotel/max1024x768/118/118491698.jpg
92,18,0A881387350957DF47B7A94688EE1C63022037FE,https://cf.bstatic.com/images/hotel/max1024x768/118/118491701.jpg
93,18,10A25414E2C36658F47C9FAB3C2A58A5C37FC811,https://cf.bstatic.com/images/hotel/max1024x768/118/118491702.jpg
94,18,C67B247C55E2900A7E328096DEA5517CAB95C31E,https://cf.bstatic.com/images/hotel/max1024x768/118/118491703.jpg
95,18,CA88E65B5E0066B7AA2E02B9A17FFDB465F9D9FD,https://cf.bstatic.com/images/hotel/max1024x768/118/118491705.jpg
96,19,C6AC7CF6EF55607CAFAC34217CEE57E329345B47,https://cf.bstatic.com/images/hotel/max1024x768/360/360430878.jpg
97,19,EBCAA8BC002940F8118BD87946DE2398D196BB82,https://cf.bstatic.com/images/hotel/max1024x768/360/360430862.jpg
98,19,EDC9D70A9DD4D0F2606539BBF4F396A72435CD8A,https://cf.bstatic.com/images/hotel/max1024x768/360/360430895.jpg
99,19,2F43D7E8FF6828DE76C85E0407B735D040164F7B,https://cf.bstatic.com/images/hotel/max1024x768/361/361119063.jpg
100,20,8FA7F242B21773C19DFDD76E3F4B84453015415A,https://cf.bstatic.com/images/hotel/max1024x768/360/360511182.jpg
101,20,CD42254CADF901F12D0476299CEAE79984143034,https://cf.bstatic.com/images/hotel/max1024x768/360/360511120.jpg
102,20,F8BD5FD4B0F9A3DAA0802C369CA33836F60BB1BF,https://cf.bstatic.com/images/hotel/max1024x768/360/360720774.jpg
103,20,2146434767E1B2BBE4FC8C5B80BC52C29229AB9F,https://cf.bstatic.com/images/hotel/max1024x768/361/361118655.jpg
104,21,42F54BD5E08D429C2E3D351E886B41445F5A12EC,https://cf.bstatic.com/images/hotel/max1024x768/360/360510967.jpg
105,21,79A3C048FF27A0011EB8FD7F98BFF56E6391DD9F,https://cf.bstatic.com/images/hotel/max1024x768/360/360720797.jpg
106,21,55533864FCC1CB883793E908E405627F0A98E892,https://cf.bstatic.com/images/hotel/max1024x768/360/360720858.jpg
107,21,FE32607EA16006B8164148DFADB4715C1CA96A7F,https://cf.bstatic.com/images/hotel/max1024x768/361/361118831.jpg
108,22,1510BF4793FBE65103E86C432ACFC1F36D68056B,https://cf.bstatic.com/images/hotel/max1024x768/360/360507987.jpg
109,22,60CAFD1C2A270B6CFF0888E44DE2A227ECE7B2D6,https://cf.bstatic.com/images/hotel/max1024x768/360/360718995.jpg
110,22,158EC2FC1B9E67A7F9856493FED52FCF84924368,https://cf.bstatic.com/images/hotel/max1024x768/361/361117876.jpg
111,22,5FFDA01C198A15C26EB98C8A3900F6F94DE3DD6B,https://cf.bstatic.com/images/hotel/max1024x768/361/361119626.jpg
112,22,9DDE4647675CD092EB99CC41330F746BD06DA38E,https://cf.bstatic.com/images/hotel/max1024x768/361/361119595.jpg
113,23,A9B34397BB9EF8664BC3461CF976E621D75B2736,https://cf.bstatic.com/images/hotel/max1024x768/361/361044921.jpg
114,23,8D6F4BC5516BA0762D6D74EF670A1CA193E77D26,https://cf.bstatic.com/images/hotel/max1024x768/361/361044962.jpg
115,23,4B2BC120F2808EFD95D7AF82271B8FEAEB91AE0D,https://cf.bstatic.com/images/hotel/max1024x768/361/361115799.jpg
116,23,329AE67A66FBAE4707A7B89F5C285F6F983987A7,https://cf.bstatic.com/images/hotel/max1024x768/361/361221169.jpg
117,24,8F7368095961C0E75047110DB4BCF7D38355651E,https://cf.bstatic.com/images/hotel/max1024x768/361/361116619.jpg
118,24,D507B188396A58E1A5C3739028AAF5202878BD47,https://cf.bstatic.com/images/hotel/max1024x768/361/361117335.jpg
119,24,06E71F686F1F8F7C31A8C36394461814B7CD639E,https://cf.bstatic.com/images/hotel/max1024x768/361/361118573.jpg
120,24,700FD1414A901CF321CC0C75DEC18B396394BAF9,https://cf.bstatic.com/images/hotel/max1024x768/361/361221234.jpg
121,24,54EA0057364368020B8AD9646F233B2658E0225A,https://cf.bstatic.com/images/hotel/max1024x768/361/361221297.jpg
122,25,FA158401DA8FD89DCB88D844A090B0C6FEAC3DF9,https://cf.bstatic.com/images/hotel/max1024x768/360/360496912.jpg
123,25,B6637002E9BC3BA3258FE03B1AA069D93FE644A2,https://cf.bstatic.com/images/hotel/max1024x768/360/360498020.jpg
124,25,7F38D60FC72AED59AEF926E1A27874DA1E696607,https://cf.bstatic.com/images/hotel/max1024x768/361/361059011.jpg
125,25,61EA382D355AF139E60FC87B5AD1EF433C6D934D,https://cf.bstatic.com/images/hotel/max1024x768/361/361059168.jpg
126,26,8CF017C836A542E39C168E7C433AFDD69186751D,https://cf.bstatic.com/images/hotel/max1024x768/345/345541832.jpg
127,26,16B66BBBEE95C56EA5D05E545595D9E1F7658F6A,https://cf.bstatic.com/images/hotel/max1024x768/343/343204961.jpg
128,26,622EBEACBCDA6E93423EF3346568BC91E75E0F5D,https://cf.bstatic.com/images/hotel/max1024x768/343/343204966.jpg
129,26,433A07CE85FA044EDEA8CCF96B9851FF7BBC5C72,https://cf.bstatic.com/images/hotel/max1024x768/345/345541836.jpg
130,27,433A07CE85FA044EDEA8CCF96B9851FF7BBC5C72,https://cf.bstatic.com/images/hotel/max1024x768/345/345541836.jpg
131,27,0DDCB357CD86443C503E54E996C0FD759B3B6DA8,https://cf.bstatic.com/images/hotel/max1024x768/345/345541835.jpg
132,27,8A8C5A6B10AEF339D8522456E8D4E9B9B44FA4BB,https://cf.bstatic.com/images/hotel/max1024x768/343/343205045.jpg
133,27,622EBEACBCDA6E93423EF3346568BC91E75E0F5D,https://cf.bstatic.com/images/hotel/max1024x768/343/343204966.jpg
134,27,8CBA0295741E45D73AF779B8621CC95FEBF8FD04,https://cf.bstatic.com/images/hotel/max1024x768/346/346102012.jpg
135,28,9F8AFA140E970DE2F293ABF07CB94CCB194F3D8E,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028002.jpg
136,28,7A03014DD5C44CDEF79DD08ADC9DCAF7223011D6,https://cf2.bstatic.com/images/hotel/max1024x768/138/138027990.jpg
137,28,80977E533149E873A8405F31BF852B8A749FD853,https://cf2.bstatic.com/images/hotel/max1024x768/143/143863001.jpg
138,29,DEB937418DD67262D8222D43F0B4765B2A5EA554,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028020.jpg
139,29,62622D739E06F810180270C0FA5276C80929A730,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028017.jpg
140,29,9EC92175FC45039A4C9DBE14BCA46A516C958D7A,https://cf2.bstatic.com/images/hotel/max1024x768/138/138018391.jpg
141,30,FA79E2BBB3231FF28F3A8E68264DED72357130A9,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028075.jpg
142,30,C8ECAB1DAACB389FF4391E5F4F087C1B69A586A5,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028053.jpg
143,30,67A819632ED8ECC4E3C2D778773E08E2C6BA442A,https://cf2.bstatic.com/images/hotel/max1024x768/138/138018394.jpg
144,31,14A8F1D7B2681C716D3266678FB22DD76E0ED473,https://cf2.bstatic.com/images/hotel/max1024x768/138/138028328.jpg
145,31,6833791E76B83D690354F7DDF6049D960829372E,https://cf2.bstatic.com/images/hotel/max1024x768/138/138018401.jpg
146,32,304992E36DFC30CE240E34C0F9A24220BC7A1839,https://cf2.bstatic.com/images/hotel/max1024x768/337/337038124.jpg
147,32,6962F9083B935C640AF83699994757B811A398D8,https://cf2.bstatic.com/images/hotel/max1024x768/337/337038140.jpg
148,32,9AEC528CEA45B762FBE25363F39CA33439BBA3E0,https://cf2.bstatic.com/images/hotel/max1024x768/337/337038141.jpg
149,32,C3A76D06A7AAC3AAD3678364B3669F65007A820E,https://cf2.bstatic.com/images/hotel/max1024x768/337/337038142.jpg
150,32,00E301FA8EE69C3DA237CF32340D3BDDA74604BA,https://cf2.bstatic.com/images/hotel/max1024x768/337/337042047.jpg
151,32,343460E9C69D501749F4C3D97DBF88A27C879029,https://cf2.bstatic.com/images/hotel/max1024x768/337/337042066.jpg
152,33,883B187C472FA287A6A3C75F0C8E7C661A31853D,https://cf.bstatic.com/images/hotel/max1024x768/159/159170840.jpg
153,33,2C6201A81B438B5C4A880F217C76EDA2996DB01E,https://cf.bstatic.com/images/hotel/max1024x768/159/159173172.jpg
154,33,B4C761526B5B03E1992E97C3C6ECB6669C3D0ABF,https://cf.bstatic.com/images/hotel/max1024x768/159/159168460.jpg
155,33,79F3A17567A722010AB8E0F37E21608F8C61A6E5,https://cf.bstatic.com/images/hotel/max1024x768/159/159173201.jpg
156,33,469BA40935CDA65D764D99DD9EF846247ADAB5A0,https://cf.bstatic.com/images/hotel/max1024x768/159/159168457.jpg
157,33,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
158,33,CF8D2D87D5767B0E3485546409A6CACA69A45169,https://cf.bstatic.com/images/hotel/max1024x768/159/159173333.jpg
159,33,15F0BF44FB062C2CF48F5457A66C5091A6A30F91,https://cf.bstatic.com/images/hotel/max1024x768/159/159177622.jpg
160,34,FC59891565FD84070B6305526A6F767366F7EAC3,https://cf.bstatic.com/images/hotel/max1024x768/159/159164358.jpg
161,34,E6F744657E681D8DDFAEF9A2723CB5BBA2083856,https://cf.bstatic.com/images/hotel/max1024x768/159/159173258.jpg
162,34,0DC28DD3B4BE991B13BB885D60CDFAB5027FBE8E,https://cf.bstatic.com/images/hotel/max1024x768/159/159173286.jpg
163,34,4F9522823B9651FE5A2C3134CFCE166705FC86E2,https://cf.bstatic.com/images/hotel/max1024x768/159/159164272.jpg
164,35,48D7C202E51A219D18067975AAA9E33AD5666B04,https://cf.bstatic.com/images/hotel/max1024x768/159/159439553.jpg
165,35,35076D485B07BFA4DE9420E73E3502E71357C2CC,https://cf.bstatic.com/images/hotel/max1024x768/159/159439552.jpg
